,product_id,img_list,product_name_x,global_product_id,product_name_y
0,V3,,metric,V2,
1,商品ID,,商品名称,V2,
2,必填,,必填,V2,
3,不可编辑,,"• 商品名称必须少于 255 个字符。
• 输入你的商品标题。
• 如果存在多个 SKU，请保持标题一致。",V2,
30,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
31,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
32,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
33,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
34,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
35,1731029285235689022,"https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/90772cd66f774a13bf3a9eae236cfc0f~tplv-o3syd03w52-origin-jpeg.jpeg?from=4250909378,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/fb7de4163304419b90a5ee26f30530d2~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=76107&refresh_token=42e7489185ff656f8c3b938bc0b32567&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/a71c738cd32a448781a47f3b53833ed3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p19-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b5566d5fd5024dc0b22f317570c70d75~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=52976&refresh_token=ce2e419ef1dab3915e25ef364349f5eb&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/6b87322bc1e6432eaaa49744a78ed2f4~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=54910&refresh_token=183991cde58816262ae95bc6f73f8434&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/245c0bdde6b64a6c9569b4cf5ff9b97c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70963&refresh_token=2003704612cbf77d283e7955b428f04a&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/54a218f6af2740da8a59ddb989806bda~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f2fb&t=555f072d,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/456708c8311142f0a67efaac15d23856~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=65661&refresh_token=197205dbca823a813af392a39ccb2f13&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1f2972a57ccd4fadbe5b678518a2209d~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=12418&refresh_token=96b141d7d0e2dc9a9bf4adbaff6cb9d7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/53c5b63c4ec04933a5744d05534585b3~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&nonce=70162&refresh_token=311c6b4a17c3363d0e2950835a6956e7&from=1432613627&idc=maliva&ps=933b5bde&shcp=9794469a&shp=5563f","Album Foto Pasangan, 7 Inci, Hadiah Buatan Tangan DIY, Pelekat Sendiri, Buku Memori Keluarga, Buku Skrap Perjalanan, Kenang-kenangan scrapbook",,
